PMID	gene_id	gene_name	gene_time	PTO	term	PTO_time
15247409	829409	['PcMYB1']	1	TO:0000436	spikelet sterility|SPKST	2
15247409	829409	['PcMYB1']	1	TO:0000053	pollen sterility	1
15247409	829409	['PcMYB1']	1	TO:0000180	spikelet fertility|percent sterility|seed setting|SpFert|SPKFRT	1
15247409	829409	['PcMYB1']	1	TO:0000881	flower type	1
23053072	851539	['GPD1']	1	TO:0002657	oxidative stress	2
23053072	851539	['GPD1']	1	TO:0000259	heat tolerance|HTol	1
23053072	851539	['GPD1']	1	TO:0000164	stress trait|crop damage|stress resistance|stress susceptibility|stress tolerance	1
23053072	57716	['Prx']	1	TO:0002657	oxidative stress	2
23053072	57716	['Prx']	1	TO:0000259	heat tolerance|HTol	1
23053072	57716	['Prx']	1	TO:0000164	stress trait|crop damage|stress resistance|stress susceptibility|stress tolerance	1
12795701	2768981	['Trl']	1	TO:0000492	leaf shape|LFSHP	1
20424856	831417	['COBRA-like 4', 'COBL4']	1	TO:0000993	cellulose content	2
20424856	831417	['COBRA-like 4', 'COBL4']	1	TO:0000051	stem strength|Cs|culm strength|CULMSTR|STEMSTR	1
12445121	100037489	['C-6 oxidase', 'DWARF']	4	TO:0006036	stem elongation	2
18042724	821717	['CERK1', 'cerk1']	7	TO:0000112	disease resistance|disease control|disease resistance trait|disease susceptibility|disease tolerance	1
15598797	836554	['NPH3']	4	TO:0002650	phototropism response trait|coleoptile curvature|coleoptile phototropism	1
15598797	4329720	['cpt1', 'CPT1']	12	TO:0002650	phototropism response trait|coleoptile curvature|coleoptile phototropism	1
21418356	817212	['CYP734A1', 'BAS1']	4	TO:0002676	brassinosteroid content|BRCN	1
21418356	838276	['CYP72C1', 'SOB7', 'CHI2', 'SHK1']	4	TO:0002676	brassinosteroid content|BRCN	1
21278127	5034	['protein disulfide isomerase', 'Protein disulfide isomerase', 'PDI']	4	TO:0000477	panicle blast disease resistance|PB|PNBLRS	2
21278127	5034	['protein disulfide isomerase', 'Protein disulfide isomerase', 'PDI']	4	TO:0000717	rough endosperm	1
21278127	26952	['PB-I']	4	TO:0000477	panicle blast disease resistance|PB|PNBLRS	2
21278127	26952	['PB-I']	4	TO:0000717	rough endosperm	1
24498271	4340746	['HD1']	2	TO:0000171	height trait	1
24498271	4340746	['HD1']	2	TO:0000207	plant height|Ht|PTHT|shoot height	1
24498271	4340746	['HD1']	2	TO:0000371	yield trait|YLD	1
24498271	4340746	['HD1']	2	TO:0000387	plant trait|plant phenotype|plant quality	2
24498271	4340746	['HD1']	2	TO:0000396	grain yield trait|GRYLD|Yld	1
23581288	838800	['LEC1']	1	TO:0000153	relative yield|RELYLD|RY	1
23581288	838800	['LEC1']	1	TO:0002661	seed maturation|asynchronous seed maturation|nonsynchronous seed maturation|SDMT|synchronous seed maturation	1
23581288	838800	['LEC1']	1	TO:0000333	sugar content|SUGARCN	1
23581288	838800	['LEC1']	1	TO:0000696	starch content|STARCHCN	1
23581288	834818	['L1L', 'LEC1-like)']	2	TO:0000153	relative yield|RELYLD|RY	1
23581288	834818	['L1L', 'LEC1-like)']	2	TO:0002661	seed maturation|asynchronous seed maturation|nonsynchronous seed maturation|SDMT|synchronous seed maturation	1
23581288	834818	['L1L', 'LEC1-like)']	2	TO:0000333	sugar content|SUGARCN	1
23581288	834818	['L1L', 'LEC1-like)']	2	TO:0000696	starch content|STARCHCN	1
23581288	839724	['LEC2']	2	TO:0000153	relative yield|RELYLD|RY	1
23581288	839724	['LEC2']	2	TO:0002661	seed maturation|asynchronous seed maturation|nonsynchronous seed maturation|SDMT|synchronous seed maturation	1
23581288	839724	['LEC2']	2	TO:0000333	sugar content|SUGARCN	1
23581288	839724	['LEC2']	2	TO:0000696	starch content|STARCHCN	1
23581288	822293	['FUS3', 'FUSCA3']	3	TO:0000153	relative yield|RELYLD|RY	1
23581288	822293	['FUS3', 'FUSCA3']	3	TO:0002661	seed maturation|asynchronous seed maturation|nonsynchronous seed maturation|SDMT|synchronous seed maturation	1
23581288	822293	['FUS3', 'FUSCA3']	3	TO:0000333	sugar content|SUGARCN	1
23581288	822293	['FUS3', 'FUSCA3']	3	TO:0000696	starch content|STARCHCN	1
23581288	822061	['ABI3', 'ABA-INSENSITIVE3']	2	TO:0000153	relative yield|RELYLD|RY	1
23581288	822061	['ABI3', 'ABA-INSENSITIVE3']	2	TO:0002661	seed maturation|asynchronous seed maturation|nonsynchronous seed maturation|SDMT|synchronous seed maturation	1
23581288	822061	['ABI3', 'ABA-INSENSITIVE3']	2	TO:0000333	sugar content|SUGARCN	1
23581288	822061	['ABI3', 'ABA-INSENSITIVE3']	2	TO:0000696	starch content|STARCHCN	1
22623516	817157	['MAX1']	3	TO:0000257	root branching|rbr|RTBR	1
22623516	817157	['MAX1']	3	TO:0002639	shoot branching	2
22623516	829417	['MAX4']	2	TO:0000257	root branching|rbr|RTBR	1
22623516	829417	['MAX4']	2	TO:0002639	shoot branching	2
22623516	838334	['D27', 'AtD27', 'Atd27']	7	TO:0000257	root branching|rbr|RTBR	1
22623516	838334	['D27', 'AtD27', 'Atd27']	7	TO:0002639	shoot branching	2
26760207	4254	['SCF']	1	TO:0000444	parasitic weed	1
26760207	4254	['SCF']	1	TO:0000346	tiller number|TINB	1
26760207	7164	['D53']	1	TO:0000444	parasitic weed	1
26760207	7164	['D53']	1	TO:0000346	tiller number|TINB	1
15659436	818862	['MAX2', 'ORE9']	2	TO:0000346	tiller number|TINB	1
15659436	818862	['MAX2', 'ORE9']	2	TO:0000661	tiller bud dormancy	1
15659436	818862	['MAX2', 'ORE9']	2	TO:0002639	shoot branching	1
10753522	542391	['Kn1']	1	TO:0000387	plant trait|plant phenotype|plant quality	1
10753522	542255	['Rs1']	1	TO:0000387	plant trait|plant phenotype|plant quality	1
10753522	542487	['Lg3']	1	TO:0000387	plant trait|plant phenotype|plant quality	1
10753522	541960	['Lg4']	1	TO:0000387	plant trait|plant phenotype|plant quality	1
10080693	107817797	['Knotted1']	2	TO:0002638	shoot meristem development|shoot meristem abortion	1
10080693	107817797	['Knotted1']	2	TO:0006020	shoot apical meristem development	1
14729915	843249	['CRABS CLAW', 'CRC']	3	TO:0002611	homeotic development trait|homeotic mutation	1
14729915	843249	['CRABS CLAW', 'CRC']	3	TO:0006017	meristem identity|meristem determinacy	1
14729915	843249	['CRABS CLAW', 'CRC']	3	TO:0000822	leaf midvein morphology trait|leaf midrib	2
14729915	843249	['CRABS CLAW', 'CRC']	3	TO:0000823	leaf midvein thickness|leaf midrib	2
18034312	100193424	['ZmNAAT1']	1	TO:0000434	root activity|RTACT	1
