PMID	genename	PTOterm	sent
10394940	Skn	An	An ACGT motif between -81 and -75, and Skn-I-like elements between -173 and -169 also play important roles in controlling the seed-specific expression.
10395929	NHX1	salt tolerance	These results suggest that the product of the novel gene, OsNHX1, functions as a Na+/H+ exchanger, and plays important roles in salt tolerance of rice.
10485927	Rac	lesion mimic	We introduced the constitutively active and the dominant negative forms of the small GTP-binding protein OsRac1, a rice homolog of human Rac, into the wild type and a lesion mimic mutant of rice and analyzed H(2)O(2) production and cell death in transformed cell cultures and plants.
10677431	CHL1	nitrate transport	Furthermore, contrasting the dual-affinity nitrate transport activity of CHL1, OsNRT1 displayed only low-affinity nitrate transport activity in Xenopus oocytes, with a K(m) value of approximately 9 mM.
10677431	CHL1	nitrate transport	Furthermore, contrasting the dual-affinity nitrate transport activity of CHL1, OsNRT1 displayed only low-affinity nitrate transport activity in Xenopus oocytes, with a K(m) value of approximately 9 mM.
10677431	CHL1	nitrate transport	Furthermore, contrasting the dual-affinity nitrate transport activity of CHL1, OsNRT1 displayed only low-affinity nitrate transport activity in Xenopus oocytes, with a K(m) value of approximately 9 mM.
10677431	CHL1	nitrate transport	Furthermore, contrasting the dual-affinity nitrate transport activity of CHL1, OsNRT1 displayed only low-affinity nitrate transport activity in Xenopus oocytes, with a K(m) value of approximately 9 mM.
10712532	GRF1	Gibberellin response	Os-GRF1 (Oryza sativa-GROWTH-REGULATING FACTOR1) was identified in a search for genes that are differentially expressed in the intercalary meristem of deepwater rice (Oryza sativa L.) internodes in response to gibberellin (GA).
10712532	GRF1	Gibberellin response	Os-GRF1 (Oryza sativa-GROWTH-REGULATING FACTOR1) was identified in a search for genes that are differentially expressed in the intercalary meristem of deepwater rice (Oryza sativa L.) internodes in response to gibberellin (GA).
10712532	GRF1	stem elongation	Stem elongation of transformed plants was severely inhibited, and normal growth could not be recovered by the application of GA. Our results indicate that Os-GRF1 belongs to a novel class of plant proteins and may play a regulatory role in GA-induced stem elongation.
10712532	GRF1	stem elongation	Stem elongation of transformed plants was severely inhibited, and normal growth could not be recovered by the application of GA. Our results indicate that Os-GRF1 belongs to a novel class of plant proteins and may play a regulatory role in GA-induced stem elongation.
11027709	ALDH2a	submergence tolerance	A possible involvement of ALDH2a in the submergence tolerance of rice is discussed.
11027709	ALDH2a	submergence tolerance	A possible involvement of ALDH2a in the submergence tolerance of rice is discussed.
11027709	ALDH2a	submergence tolerance	A possible involvement of ALDH2a in the submergence tolerance of rice is discussed.
11027709	ALDH2a	submergence tolerance	A possible involvement of ALDH2a in the submergence tolerance of rice is discussed.
11114160	edr1	disease resistance	The enhanced disease resistance 1 (edr1) mutation of Arabidopsis confers resistance to powdery mildew disease caused by the fungus Erysiphe cichoracearum.
11114160	edr1	disease resistance	The enhanced disease resistance 1 (edr1) mutation of Arabidopsis confers resistance to powdery mildew disease caused by the fungus Erysiphe cichoracearum.
11114160	edr1	ethylene response	In contrast, the ein2 mutation did not suppress edr1-mediated resistance and associated phenotypes, indicating that ethylene and jasmonic acid-induced responses are not required for edr1 resistance.
11114160	edr1	ethylene response	In contrast, the ein2 mutation did not suppress edr1-mediated resistance and associated phenotypes, indicating that ethylene and jasmonic acid-induced responses are not required for edr1 resistance.
11114160	ein2	ethylene response	In contrast, the ein2 mutation did not suppress edr1-mediated resistance and associated phenotypes, indicating that ethylene and jasmonic acid-induced responses are not required for edr1 resistance.
11114160	ein2	ethylene response	In contrast, the ein2 mutation did not suppress edr1-mediated resistance and associated phenotypes, indicating that ethylene and jasmonic acid-induced responses are not required for edr1 resistance.
11114160	EDR1	ethylene response	The EDR1 gene was isolated by positional cloning and was found to encode a putative MAP kinase kinase kinase similar to CTR1, a negative regulator of ethylene responses in Arabidopsis.
11114160	EDR1	ethylene response	The EDR1 gene was isolated by positional cloning and was found to encode a putative MAP kinase kinase kinase similar to CTR1, a negative regulator of ethylene responses in Arabidopsis.
11114160	CTR1	ethylene response	The EDR1 gene was isolated by positional cloning and was found to encode a putative MAP kinase kinase kinase similar to CTR1, a negative regulator of ethylene responses in Arabidopsis.
11114160	CTR1	ethylene response	The EDR1 gene was isolated by positional cloning and was found to encode a putative MAP kinase kinase kinase similar to CTR1, a negative regulator of ethylene responses in Arabidopsis.
11779628	CaM	An	An in vitro CaM-binding assay of these proteins over-expressed in Escherichia coli revealed that OsGAD1 can in fact bind specifically to bovine CaM but OsGAD2 cannot.
11978873	Incw1	acid invertase	The deduced amino acid sequence showed typical features of the cell wall invertases, including a beta-fructosidase motif and a cysteine catalytic site, and shared 78.6 and 73.7% identity with maize cell wall invertases, Incw1 and Incw2, respectively.
11978873	Incw1	acid invertase	The deduced amino acid sequence showed typical features of the cell wall invertases, including a beta-fructosidase motif and a cysteine catalytic site, and shared 78.6 and 73.7% identity with maize cell wall invertases, Incw1 and Incw2, respectively.
11978873	Incw1	acid invertase	The deduced amino acid sequence showed typical features of the cell wall invertases, including a beta-fructosidase motif and a cysteine catalytic site, and shared 78.6 and 73.7% identity with maize cell wall invertases, Incw1 and Incw2, respectively.
11978873	Incw1	acid invertase	The deduced amino acid sequence showed typical features of the cell wall invertases, including a beta-fructosidase motif and a cysteine catalytic site, and shared 78.6 and 73.7% identity with maize cell wall invertases, Incw1 and Incw2, respectively.
11978873	Incw1	acid invertase	The deduced amino acid sequence showed typical features of the cell wall invertases, including a beta-fructosidase motif and a cysteine catalytic site, and shared 78.6 and 73.7% identity with maize cell wall invertases, Incw1 and Incw2, respectively.
11978873	Incw2	acid invertase	The deduced amino acid sequence showed typical features of the cell wall invertases, including a beta-fructosidase motif and a cysteine catalytic site, and shared 78.6 and 73.7% identity with maize cell wall invertases, Incw1 and Incw2, respectively.
11978873	Incw2	acid invertase	The deduced amino acid sequence showed typical features of the cell wall invertases, including a beta-fructosidase motif and a cysteine catalytic site, and shared 78.6 and 73.7% identity with maize cell wall invertases, Incw1 and Incw2, respectively.
11978873	Incw2	acid invertase	The deduced amino acid sequence showed typical features of the cell wall invertases, including a beta-fructosidase motif and a cysteine catalytic site, and shared 78.6 and 73.7% identity with maize cell wall invertases, Incw1 and Incw2, respectively.
11978873	Incw2	acid invertase	The deduced amino acid sequence showed typical features of the cell wall invertases, including a beta-fructosidase motif and a cysteine catalytic site, and shared 78.6 and 73.7% identity with maize cell wall invertases, Incw1 and Incw2, respectively.
11978873	Incw2	acid invertase	The deduced amino acid sequence showed typical features of the cell wall invertases, including a beta-fructosidase motif and a cysteine catalytic site, and shared 78.6 and 73.7% identity with maize cell wall invertases, Incw1 and Incw2, respectively.
11978873	Incw1	beta-fructosidase	The deduced amino acid sequence showed typical features of the cell wall invertases, including a beta-fructosidase motif and a cysteine catalytic site, and shared 78.6 and 73.7% identity with maize cell wall invertases, Incw1 and Incw2, respectively.
11978873	Incw1	beta-fructosidase	The deduced amino acid sequence showed typical features of the cell wall invertases, including a beta-fructosidase motif and a cysteine catalytic site, and shared 78.6 and 73.7% identity with maize cell wall invertases, Incw1 and Incw2, respectively.
11978873	Incw1	beta-fructosidase	The deduced amino acid sequence showed typical features of the cell wall invertases, including a beta-fructosidase motif and a cysteine catalytic site, and shared 78.6 and 73.7% identity with maize cell wall invertases, Incw1 and Incw2, respectively.
11978873	Incw1	beta-fructosidase	The deduced amino acid sequence showed typical features of the cell wall invertases, including a beta-fructosidase motif and a cysteine catalytic site, and shared 78.6 and 73.7% identity with maize cell wall invertases, Incw1 and Incw2, respectively.
11978873	Incw1	beta-fructosidase	The deduced amino acid sequence showed typical features of the cell wall invertases, including a beta-fructosidase motif and a cysteine catalytic site, and shared 78.6 and 73.7% identity with maize cell wall invertases, Incw1 and Incw2, respectively.
11978873	Incw2	beta-fructosidase	The deduced amino acid sequence showed typical features of the cell wall invertases, including a beta-fructosidase motif and a cysteine catalytic site, and shared 78.6 and 73.7% identity with maize cell wall invertases, Incw1 and Incw2, respectively.
11978873	Incw2	beta-fructosidase	The deduced amino acid sequence showed typical features of the cell wall invertases, including a beta-fructosidase motif and a cysteine catalytic site, and shared 78.6 and 73.7% identity with maize cell wall invertases, Incw1 and Incw2, respectively.
11978873	Incw2	beta-fructosidase	The deduced amino acid sequence showed typical features of the cell wall invertases, including a beta-fructosidase motif and a cysteine catalytic site, and shared 78.6 and 73.7% identity with maize cell wall invertases, Incw1 and Incw2, respectively.
11978873	Incw2	beta-fructosidase	The deduced amino acid sequence showed typical features of the cell wall invertases, including a beta-fructosidase motif and a cysteine catalytic site, and shared 78.6 and 73.7% identity with maize cell wall invertases, Incw1 and Incw2, respectively.
11978873	Incw2	beta-fructosidase	The deduced amino acid sequence showed typical features of the cell wall invertases, including a beta-fructosidase motif and a cysteine catalytic site, and shared 78.6 and 73.7% identity with maize cell wall invertases, Incw1 and Incw2, respectively.
12177461	Act1	root activity	Activity of the OsCc1 promoter was 3-fold higher than Act1 in calli and roots and comparable with RbcS in leaves, representing a useful alternative to the maize (Zea mays) Ubi1 and the rice Act1 promoters for transgene expression in monocots.
12177461	RbcS	root activity	Activity of the OsCc1 promoter was 3-fold higher than Act1 in calli and roots and comparable with RbcS in leaves, representing a useful alternative to the maize (Zea mays) Ubi1 and the rice Act1 promoters for transgene expression in monocots.
12581311	HDAC1	plant phenotype	The overexpression leads to a range of novel phenotypes, involving increased growth rate and altered plant architecture, suggesting that OsHDAC1 functions in the genome-wide programming of gene expression.
12609047	DREB1A	stress tolerance	Over-expression of OsDREB1A in transgenic Arabidopsis induced over-expression of target stress-inducible genes of Arabidopsis DREB1A resulting in plants with higher tolerance to drought, high-salt, and freezing stresses.
12609047	DREB1A	stress tolerance	Over-expression of OsDREB1A in transgenic Arabidopsis induced over-expression of target stress-inducible genes of Arabidopsis DREB1A resulting in plants with higher tolerance to drought, high-salt, and freezing stresses.
12609047	DREB1A	drought tolerance	Over-expression of OsDREB1A in transgenic Arabidopsis induced over-expression of target stress-inducible genes of Arabidopsis DREB1A resulting in plants with higher tolerance to drought, high-salt, and freezing stresses.
12609047	DREB1A	drought tolerance	Over-expression of OsDREB1A in transgenic Arabidopsis induced over-expression of target stress-inducible genes of Arabidopsis DREB1A resulting in plants with higher tolerance to drought, high-salt, and freezing stresses.
14534788	SPS	SPS	The results indicated that the gene for sucrose phosphate synthase (SPS; EC 2.4.1.14), the major limiting enzyme for sucrose synthesis, is a candidate gene for QTLph1 among the annotation results of the region of QTLph1.
14534788	SPS	SPS	The results indicated that the gene for sucrose phosphate synthase (SPS; EC 2.4.1.14), the major limiting enzyme for sucrose synthesis, is a candidate gene for QTLph1 among the annotation results of the region of QTLph1.
14534788	SPS	SPS	The results indicated that the gene for sucrose phosphate synthase (SPS; EC 2.4.1.14), the major limiting enzyme for sucrose synthesis, is a candidate gene for QTLph1 among the annotation results of the region of QTLph1.
14534788	SPS	SPS	The results indicated that the gene for sucrose phosphate synthase (SPS; EC 2.4.1.14), the major limiting enzyme for sucrose synthesis, is a candidate gene for QTLph1 among the annotation results of the region of QTLph1.
14534788	SPS	SPS	The results indicated that the gene for sucrose phosphate synthase (SPS; EC 2.4.1.14), the major limiting enzyme for sucrose synthesis, is a candidate gene for QTLph1 among the annotation results of the region of QTLph1.
14534788	SPS	SPS	The results indicated that the gene for sucrose phosphate synthase (SPS; EC 2.4.1.14), the major limiting enzyme for sucrose synthesis, is a candidate gene for QTLph1 among the annotation results of the region of QTLph1.
14534788	SPS	SPS	The results indicated that the gene for sucrose phosphate synthase (SPS; EC 2.4.1.14), the major limiting enzyme for sucrose synthesis, is a candidate gene for QTLph1 among the annotation results of the region of QTLph1.
14534788	SPS	plant height	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	plant height	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	plant height	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	plant height	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	plant height	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	plant height	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	plant height	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	SPS	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	SPS	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	SPS	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	SPS	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	SPS	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	SPS	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	SPS	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	protein content	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	protein content	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	protein content	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	protein content	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	protein content	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	protein content	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	protein content	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	relative plant height	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	relative plant height	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	relative plant height	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	relative plant height	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	relative plant height	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	relative plant height	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	relative plant height	The higher level of SPS transcripts and the activity of SPS in NIL6 compared to control plants, and the fact that the relative SPS activity per SPS protein content was almost the same between NIL6 and Nipponbare suggested that the higher plant height in NIL6 compared to Nipponbare was due to the high SPS activity in NIL6.
14534788	SPS	SPS	In agreement with this hypothesis, transgenic rice plants with a maize SPS gene that had about 3 times the SPS activity of that in Nipponbare (control plants) were significantly taller than Nipponbare from the early growth stage.
14534788	SPS	SPS	In agreement with this hypothesis, transgenic rice plants with a maize SPS gene that had about 3 times the SPS activity of that in Nipponbare (control plants) were significantly taller than Nipponbare from the early growth stage.
